city_id;city_name;city_latitude;city_longitude;country_id;state_id
000200;Belford Roxo;-22.763889;-43.398889;001;000019
000201;São João de Meriti;-22.8038505;-43.3726298;001;000019
000202;Petrópolis;-22.505;-43.178889;001;000019
000203;Volta Redonda;-22.522778;-44.103889;001;000019
000204;Magé;-22.652778;-43.040833;001;000019
000205;Macaé;-22.370833;-41.786944;001;000019
000206;Itaboraí;-22.7449634;-42.8591085;001;000019
000207;Cabo Frio;-22.878683;-42.019875;001;000019
000208;Angra dos Reis;-23.0100277;-44.3186537;001;000019
000209;Nova Friburgo;-22.2891837;-42.5345547;001;000019
000210;Barra Mansa;-22.543889;-44.170833;001;000019
000211;Teresópolis;-22.4122633;-42.9664044;001;000019
000212;Mesquita;-22.781944;-43.428889;001;000019
000213;Nilópolis;-22.807778;-43.413889;001;000019
000214;Maricá;-22.918889;-42.818889;001;000019
000215;Queimados;-22.7164052;-43.5553668;001;000019
000216;Natal;-5.783333;-35.2;001;000020
000217;Mossoró;-5.187778;-37.343889;001;000020
000218;Parnamirim;-5.9194102;-35.2675198;001;000020
000219;Porto Alegre;-30.027679;-51.2286404;001;000021
000220;Caxias do Sul;-29.166667;-51.183333;001;000021
000221;Pelotas;-31.7466131;-52.3353928;001;000021
000222;Canoas;-29.92;-51.18;001;000021
000223;Santa Maria;-29.683333;-53.8;001;000021
000224;Gravataí;-29.9437643;-50.9935619;001;000021
000225;Viamão;-30.0811596;-51.0239641;001;000021
000226;Novo Hamburgo;-29.6869327;-51.1275459;001;000021
000227;São Leopoldo;-29.76;-51.146944;001;000021
000228;Rio Grande;-32.0332;-52.0986;001;000021
000229;Alvorada;-29.9988757;-51.076248;001;000021
000230;Passo Fundo;-28.2623536;-52.408987;001;000021
000231;Porto Velho;-8.7610724;-63.8859771;001;000022
000232;Boa Vista;2.8192275;-60.6706554;001;000023
000233;Joinville;-26.3204;-48.8437;001;000024
000234;Florianópolis;-27.5935;-48.55854;001;000024
000235;Blumenau;-26.9189417;-49.0660575;001;000024
000236;São José;-27.6157715;-48.6279547;001;000024
000237;Criciúma;-28.678297;-49.370396;001;000024
000238;Chapecó;-27.0952243;-52.6181683;001;000024
000239;Itajaí;-26.9;-48.666667;001;000024
000240;Jaraguá do Sul;-26.4850248;-49.0667688;001;000024
000241;Lages;-27.81648;-50.3267776;001;000024
000242;Palhoça;-27.644444;-48.667778;001;000024
000243;São Paulo;-23.5486657;-46.6382522;001;000025
000244;Guarulhos;-23.466667;-46.533333;001;000025
000245;Campinas;-22.900914;-47.057294;001;000025
000246;São Bernardo do Campo;-23.694445;-46.565796;001;000025
000247;Santo André;-23.6667259;-46.5323593;001;000025
000248;Osasco;-23.5315745;-46.7898879;001;000025
000249;São José dos Campos;-23.1791361;-45.8872353;001;000025
000250;Ribeirão Preto;-21.178333;-47.806667;001;000025
000251;Sorocaba;-23.501667;-47.458056;001;000025
000252;Mauá;-23.667778;-46.460833;001;000025
000253;São José do Rio Preto;-20.8108698;-49.3791295;001;000025
000254;Santos;-23.9562885;-46.3264601;001;000025
000255;Mogi das Cruzes;-23.5254424;-46.1870725;001;000025
000256;Diadema;-23.686111;-46.610556;001;000025
000257;Jundiaí;-23.187081;-46.884048;001;000025
000258;Carapicuíba;-23.52264;-46.836839;001;000025
000259;Piracicaba;-22.724976;-47.6476;001;000025
000260;Bauru;-22.314722;-49.060556;001;000025
000261;São Vicente;-23.963333;-46.392222;001;000025
000262;Itaquaquecetuba;-23.486389;-46.348611;001;000025
000263;Franca;-20.538611;-47.400833;001;000025
000264;Guarujá;-23.993611;-46.256389;001;000025
000265;Taubaté;-23.030587;-45.5486046;001;000025
000266;Limeira;-22.5630232;-47.4047101;001;000025
000267;Praia Grande;-23.9988945;-46.4135444;001;000025
000268;Suzano;-23.5410069;-46.3105336;001;000025
000269;Taboão da Serra;-23.6075269;-46.7529597;001;000025
000270;Sumaré;-22.82194;-47.26694;001;000025
000271;Barueri;-23.5115171;-46.8759588;001;000025
000272;Embu das Artes;-23.648889;-46.851944;001;000025
000273;São Carlos;-22.0167169;-47.8919709;001;000025
000274;Marília;-22.2203399;-49.9481958;001;000025
000275;Americana;-22.738611;-47.331111;001;000025
000276;Indaiatuba;-23.090278;-47.218056;001;000025
000277;Cotia;-23.604167;-46.919444;001;000025
000278;Jacareí;-23.30528;-45.96583;001;000025
000279;Araraquara;-21.794722;-48.176111;001;000025
000280;Presidente Prudente;-22.125556;-51.388889;001;000025
000281;Itapevi;-23.5491898;-46.9373303;001;000025
000282;Hortolândia;-22.858333;-47.22;001;000025
000283;Rio Claro;-22.4074609;-47.5655179;001;000025
000284;Araçatuba;-21.2109137;-50.4259918;001;000025
000285;Santa Bárbara d'Oeste;-22.754444;-47.414167;001;000025
000286;Ferraz de Vasconcelos;-23.5405399;-46.3692266;001;000025
000287;Francisco Morato;-23.281667;-46.7425;001;000025
000288;Itu;-23.265697;-47.299124;001;000025
000289;Itapecerica da Serra;-23.717222;-46.849444;001;000025
000290;Pindamonhangaba;-22.923487;-45.459842;001;000025
000291;Bragança Paulista;-22.918889;-46.5425;001;000025
000292;São Caetano do Sul;-23.622657;-46.548856;001;000025
000293;Itapetininga;-23.5905428;-48.0534686;001;000025
000294;Mogi Guaçu;-22.371944;-46.941944;001;000025
